csd,n_atoms,n_basis,homo_lumo_gap_eV,cis_s1_eV,cis_s1_osc_strength,dipole_debye,GapC,AtomNumC,MolWtS,RhoC,EpsilonC,GW_QP_BandGap,GWBSE_EsC,Singlet_binding
TERPHE02,32,104,11.619082920317892,6.706950571536376,1.3169715449109018,2.6145440667999387e-12,2.63744,64.0,230.0,0.744144483,3.007784413,4.41063,4.1694132,0.24121680000000012
TERPHO02,32,104,12.383142925769887,7.129366865487802,0.40905018452597874,0.03509228705284026,3.362,128.0,230.0,0.70167238,3.246650745,5.49653,4.4518457,1.0446843000000001
TETCEN01,30,102,8.241564837225072,4.548944997796086,0.3131304451857312,1.5685084353371542e-12,1.09876,60.0,228.0,0.796884594,3.206722615,2.6809,2.2350611,0.44583890000000004
TPHBEN01,42,138,12.344774832548543,6.997097152770788,0.0009418249968046926,0.003194823728815695,3.08905,168.0,306.0,0.723797988,2.929034602,5.11289,4.0990643,1.0138257
TRIPHE12,30,102,11.62540358127377,6.247558270573718,3.7837168230646296e-05,0.025925616829006088,2.97412,120.0,228.0,0.798022532,3.16055076,4.825349999999999,3.7282466,1.0971033999999995
VEBKAP,46,158,7.259685125951342,3.8819428352128846,0.4296431058422497,0.18781277267322374,0.60127,184.0,354.0,0.761768336,3.023980806,2.3251,1.6741934,0.6509065999999999
XECJIZ,15,51,8.622449098450772,0.9166591728459165,0.003422066201930996,0.9098394399818075,1.19171,100.0,380.0,0.77271382,3.122210244,2.8252,2.2511282,0.5740718
YITJAN,40,136,9.976775285049026,5.6447792829205214,0.20470735583102384,0.10198050480736408,2.15013,320.0,304.0,0.766929575,3.57123988,4.22654,3.4544993,0.7720406999999998
YUNYAJ,50,186,7.899703262338816,4.472858460780052,1.0848047044816465,1.5971349205127942e-05,1.34454,100.0,849.0,0.920042078,3.659280025,2.5288,2.3635,0.16529999999999978
ZZZDKE01,42,146,6.445031150315882,3.3630912541123266,0.34912663982217396,3.459436959740758e-05,0.44081,84.0,328.0,0.835747548,3.379013539,1.5180000000000002,1.1671669,0.35083310000000023
ZZZNKU01,52,172,10.603856199614288,6.072854315798407,2.9006743824306818,4.617590851383936e-12,2.14776,104.0,382.0,0.777513311,3.713367867,3.94842,3.3492778,0.5991422000000002
